2022-11-07 12:14:00 startup archives unpack
2022-11-07 12:20:20 status half-configured libfreetype6:amd64 2.8.1-2ubuntu2.2
2022-11-07 12:20:20 status installed libfreetype6:amd64 2.8.1-2ubuntu2.2
2022-11-07 12:20:20 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:20:20 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:20 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:26 startup archives unpack
2022-11-07 12:20:26 upgrade libfribidi0:amd64 0.19.7-2 0.19.7-2ubuntu0.1
2022-11-07 12:20:26 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:26 status half-configured libfribidi0:amd64 0.19.7-2
2022-11-07 12:20:26 status unpacked libfribidi0:amd64 0.19.7-2
2022-11-07 12:20:26 status half-installed libfribidi0:amd64 0.19.7-2
2022-11-07 12:20:26 status half-installed libfribidi0:amd64 0.19.7-2
2022-11-07 12:20:26 status unpacked libfribidi0:amd64 0.19.7-2ubuntu0.1
2022-11-07 12:20:26 status unpacked libfribidi0:amd64 0.19.7-2ubuntu0.1
2022-11-07 12:20:26 startup packages configure
2022-11-07 12:20:26 configure libfribidi0:amd64 0.19.7-2ubuntu0.1 <none>
2022-11-07 12:20:26 status unpacked libfribidi0:amd64 0.19.7-2ubuntu0.1
2022-11-07 12:20:26 status half-configured libfribidi0:amd64 0.19.7-2ubuntu0.1
2022-11-07 12:20:26 status installed libfribidi0:amd64 0.19.7-2ubuntu0.1
2022-11-07 12:20:26 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:20:26 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:26 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:31 startup archives unpack
2022-11-07 12:20:32 upgrade libgcrypt20:amd64 1.8.1-4ubuntu1.2 1.8.1-4ubuntu1.3
2022-11-07 12:20:32 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:32 status half-configured libgcrypt20:amd64 1.8.1-4ubuntu1.2
2022-11-07 12:20:32 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1.2
2022-11-07 12:20:32 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1.2
2022-11-07 12:20:32 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1.2
2022-11-07 12:20:32 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1.3
2022-11-07 12:20:32 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1.3
2022-11-07 12:20:32 startup packages configure
2022-11-07 12:20:32 configure libgcrypt20:amd64 1.8.1-4ubuntu1.3 <none>
2022-11-07 12:20:32 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1.3
2022-11-07 12:20:32 status half-configured libgcrypt20:amd64 1.8.1-4ubuntu1.3
2022-11-07 12:20:32 status installed libgcrypt20:amd64 1.8.1-4ubuntu1.3
2022-11-07 12:20:32 startup packages configure
2022-11-07 12:20:32 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:20:32 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:32 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:38 startup archives unpack
2022-11-07 12:20:39 upgrade libgd3:amd64 2.2.5-4ubuntu0.4 2.2.5-4ubuntu0.5
2022-11-07 12:20:39 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:39 status half-configured libgd3:amd64 2.2.5-4ubuntu0.4
2022-11-07 12:20:39 status unpacked libgd3:amd64 2.2.5-4ubuntu0.4
2022-11-07 12:20:39 status half-installed libgd3:amd64 2.2.5-4ubuntu0.4
2022-11-07 12:20:39 status half-installed libgd3:amd64 2.2.5-4ubuntu0.4
2022-11-07 12:20:39 status unpacked libgd3:amd64 2.2.5-4ubuntu0.5
2022-11-07 12:20:39 status unpacked libgd3:amd64 2.2.5-4ubuntu0.5
2022-11-07 12:20:39 startup packages configure
2022-11-07 12:20:39 configure libgd3:amd64 2.2.5-4ubuntu0.5 <none>
2022-11-07 12:20:39 status unpacked libgd3:amd64 2.2.5-4ubuntu0.5
2022-11-07 12:20:39 status half-configured libgd3:amd64 2.2.5-4ubuntu0.5
2022-11-07 12:20:39 status installed libgd3:amd64 2.2.5-4ubuntu0.5
2022-11-07 12:20:39 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:20:39 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:39 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:46 startup archives unpack
2022-11-07 12:20:46 upgrade libglib2.0-data:all 2.56.4-0ubuntu0.18.04.8 2.56.4-0ubuntu0.18.04.9
2022-11-07 12:20:46 status half-configured libglib2.0-data:all 2.56.4-0ubuntu0.18.04.8
2022-11-07 12:20:46 status unpacked libglib2.0-data:all 2.56.4-0ubuntu0.18.04.8
2022-11-07 12:20:46 status half-installed libglib2.0-data:all 2.56.4-0ubuntu0.18.04.8
2022-11-07 12:20:46 status half-installed libglib2.0-data:all 2.56.4-0ubuntu0.18.04.8
2022-11-07 12:20:46 status unpacked libglib2.0-data:all 2.56.4-0ubuntu0.18.04.9
2022-11-07 12:20:46 status unpacked libglib2.0-data:all 2.56.4-0ubuntu0.18.04.9
2022-11-07 12:20:46 startup packages configure
2022-11-07 12:20:46 configure libglib2.0-data:all 2.56.4-0ubuntu0.18.04.9 <none>
2022-11-07 12:20:46 status unpacked libglib2.0-data:all 2.56.4-0ubuntu0.18.04.9
2022-11-07 12:20:46 status half-configured libglib2.0-data:all 2.56.4-0ubuntu0.18.04.9
2022-11-07 12:20:46 status installed libglib2.0-data:all 2.56.4-0ubuntu0.18.04.9
2022-11-07 12:20:50 startup archives unpack
2022-11-07 12:20:50 upgrade libgmp10:amd64 2:6.1.2+dfsg-2 2:6.1.2+dfsg-2ubuntu0.1
2022-11-07 12:20:50 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:50 status half-configured libgmp10:amd64 2:6.1.2+dfsg-2
2022-11-07 12:20:50 status unpacked libgmp10:amd64 2:6.1.2+dfsg-2
2022-11-07 12:20:50 status half-installed libgmp10:amd64 2:6.1.2+dfsg-2
2022-11-07 12:20:50 status half-installed libgmp10:amd64 2:6.1.2+dfsg-2
2022-11-07 12:20:50 status unpacked libgmp10:amd64 2:6.1.2+dfsg-2ubuntu0.1
2022-11-07 12:20:50 status unpacked libgmp10:amd64 2:6.1.2+dfsg-2ubuntu0.1
2022-11-07 12:20:50 startup packages configure
2022-11-07 12:20:50 configure libgmp10:amd64 2:6.1.2+dfsg-2ubuntu0.1 <none>
2022-11-07 12:20:50 status unpacked libgmp10:amd64 2:6.1.2+dfsg-2ubuntu0.1
2022-11-07 12:20:50 status half-configured libgmp10:amd64 2:6.1.2+dfsg-2ubuntu0.1
2022-11-07 12:20:50 status installed libgmp10:amd64 2:6.1.2+dfsg-2ubuntu0.1
2022-11-07 12:20:50 startup packages configure
2022-11-07 12:20:50 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:20:50 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:50 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:57 startup archives unpack
2022-11-07 12:20:57 upgrade libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.2 0.2.3-1ubuntu0.4
2022-11-07 12:20:57 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:57 status half-configured libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.2
2022-11-07 12:20:57 status unpacked libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.2
2022-11-07 12:20:57 status half-installed libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.2
2022-11-07 12:20:57 status half-installed libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.2
2022-11-07 12:20:57 status unpacked libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.4
2022-11-07 12:20:57 status unpacked libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.4
2022-11-07 12:20:57 startup packages configure
2022-11-07 12:20:57 configure libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.4 <none>
2022-11-07 12:20:57 status unpacked libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.4
2022-11-07 12:20:57 status half-configured libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.4
2022-11-07 12:20:57 status installed libgnome-autoar-0-0:amd64 0.2.3-1ubuntu0.4
2022-11-07 12:20:57 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:20:57 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:20:57 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:03 startup archives unpack
2022-11-07 12:21:03 upgrade libgnutls30:amd64 3.5.18-1ubuntu1.4 3.5.18-1ubuntu1.6
2022-11-07 12:21:03 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:03 status half-configured libgnutls30:amd64 3.5.18-1ubuntu1.4
2022-11-07 12:21:03 status unpacked libgnutls30:amd64 3.5.18-1ubuntu1.4
2022-11-07 12:21:03 status half-installed libgnutls30:amd64 3.5.18-1ubuntu1.4
2022-11-07 12:21:03 status half-installed libgnutls30:amd64 3.5.18-1ubuntu1.4
2022-11-07 12:21:03 status unpacked libgnutls30:amd64 3.5.18-1ubuntu1.6
2022-11-07 12:21:03 status unpacked libgnutls30:amd64 3.5.18-1ubuntu1.6
2022-11-07 12:21:04 startup packages configure
2022-11-07 12:21:04 configure libgnutls30:amd64 3.5.18-1ubuntu1.6 <none>
2022-11-07 12:21:04 status unpacked libgnutls30:amd64 3.5.18-1ubuntu1.6
2022-11-07 12:21:04 status half-configured libgnutls30:amd64 3.5.18-1ubuntu1.6
2022-11-07 12:21:04 status installed libgnutls30:amd64 3.5.18-1ubuntu1.6
2022-11-07 12:21:04 startup packages configure
2022-11-07 12:21:04 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:04 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:04 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:10 startup archives unpack
2022-11-07 12:21:10 upgrade libgrilo-0.3-0:amd64 0.3.4-1 0.3.4-1ubuntu0.1
2022-11-07 12:21:10 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:10 status half-configured libgrilo-0.3-0:amd64 0.3.4-1
2022-11-07 12:21:10 status unpacked libgrilo-0.3-0:amd64 0.3.4-1
2022-11-07 12:21:10 status half-installed libgrilo-0.3-0:amd64 0.3.4-1
2022-11-07 12:21:10 status half-installed libgrilo-0.3-0:amd64 0.3.4-1
2022-11-07 12:21:10 status unpacked libgrilo-0.3-0:amd64 0.3.4-1ubuntu0.1
2022-11-07 12:21:10 status unpacked libgrilo-0.3-0:amd64 0.3.4-1ubuntu0.1
2022-11-07 12:21:10 startup packages configure
2022-11-07 12:21:10 configure libgrilo-0.3-0:amd64 0.3.4-1ubuntu0.1 <none>
2022-11-07 12:21:10 status unpacked libgrilo-0.3-0:amd64 0.3.4-1ubuntu0.1
2022-11-07 12:21:10 status half-configured libgrilo-0.3-0:amd64 0.3.4-1ubuntu0.1
2022-11-07 12:21:10 status installed libgrilo-0.3-0:amd64 0.3.4-1ubuntu0.1
2022-11-07 12:21:10 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:10 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:10 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:16 startup archives unpack
2022-11-07 12:21:17 upgrade libgssapi3-heimdal:amd64 7.5.0+dfsg-1 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:17 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:17 status half-configured libgssapi3-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:17 status unpacked libgssapi3-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:17 status half-installed libgssapi3-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:17 status half-installed libgssapi3-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:17 status unpacked libgssapi3-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:17 status unpacked libgssapi3-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:17 startup packages configure
2022-11-07 12:21:17 configure libgssapi3-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1 <none>
2022-11-07 12:21:17 status unpacked libgssapi3-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:17 status half-configured libgssapi3-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:17 status installed libgssapi3-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:17 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:17 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:17 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:24 startup archives unpack
2022-11-07 12:21:24 upgrade libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.1 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:24 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:24 status half-configured libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:24 status unpacked libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:24 status half-installed libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:24 status half-installed libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:24 status unpacked libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:24 status unpacked libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:24 startup packages configure
2022-11-07 12:21:24 configure libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.3 <none>
2022-11-07 12:21:24 status unpacked libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:24 status half-configured libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:24 status installed libgstreamer-gl1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:24 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:24 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:24 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:31 startup archives unpack
2022-11-07 12:21:32 upgrade libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.1 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:32 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:32 status half-configured libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:32 status unpacked libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:32 status half-installed libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:32 status half-installed libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:32 status unpacked libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:32 status unpacked libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:32 startup packages configure
2022-11-07 12:21:32 configure libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.3 <none>
2022-11-07 12:21:32 status unpacked libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:32 status half-configured libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:32 status installed libgstreamer-plugins-base1.0-0:amd64 1.14.5-0ubuntu1~18.04.3
2022-11-07 12:21:32 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:32 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:32 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:39 startup archives unpack
2022-11-07 12:21:39 upgrade libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.1 1.14.5-0ubuntu1~18.04.2
2022-11-07 12:21:39 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:39 status half-configured libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:39 status unpacked libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:39 status half-installed libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:39 status half-installed libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.1
2022-11-07 12:21:39 status unpacked libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.2
2022-11-07 12:21:39 status unpacked libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.2
2022-11-07 12:21:40 startup packages configure
2022-11-07 12:21:40 configure libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.2 <none>
2022-11-07 12:21:40 status unpacked libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.2
2022-11-07 12:21:40 status half-configured libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.2
2022-11-07 12:21:40 status installed libgstreamer1.0-0:amd64 1.14.5-0ubuntu1~18.04.2
2022-11-07 12:21:40 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:40 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:40 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:48 startup archives unpack
2022-11-07 12:21:48 upgrade libhcrypto4-heimdal:amd64 7.5.0+dfsg-1 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:48 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:48 status half-configured libhcrypto4-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:48 status unpacked libhcrypto4-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:48 status half-installed libhcrypto4-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:48 status half-installed libhcrypto4-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:48 status unpacked libhcrypto4-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:48 status unpacked libhcrypto4-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:48 startup packages configure
2022-11-07 12:21:48 configure libhcrypto4-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1 <none>
2022-11-07 12:21:48 status unpacked libhcrypto4-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:48 status half-configured libhcrypto4-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:48 status installed libhcrypto4-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:48 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:48 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:48 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:57 startup archives unpack
2022-11-07 12:21:57 upgrade libheimbase1-heimdal:amd64 7.5.0+dfsg-1 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:57 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:57 status half-configured libheimbase1-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:57 status unpacked libheimbase1-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:57 status half-installed libheimbase1-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:57 status half-installed libheimbase1-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:21:57 status unpacked libheimbase1-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:57 status unpacked libheimbase1-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:57 startup packages configure
2022-11-07 12:21:57 configure libheimbase1-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1 <none>
2022-11-07 12:21:57 status unpacked libheimbase1-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:57 status half-configured libheimbase1-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:57 status installed libheimbase1-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:21:57 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:21:57 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:21:57 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:02 startup archives unpack
2022-11-07 12:22:02 upgrade libheimntlm0-heimdal:amd64 7.5.0+dfsg-1 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:02 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:02 status half-configured libheimntlm0-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:02 status unpacked libheimntlm0-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:02 status half-installed libheimntlm0-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:02 status half-installed libheimntlm0-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:02 status unpacked libheimntlm0-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:02 status unpacked libheimntlm0-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:03 startup packages configure
2022-11-07 12:22:03 configure libheimntlm0-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1 <none>
2022-11-07 12:22:03 status unpacked libheimntlm0-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:03 status half-configured libheimntlm0-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:03 status installed libheimntlm0-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:03 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:22:03 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:03 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:07 startup archives unpack
2022-11-07 12:22:08 upgrade libhttp-daemon-perl:all 6.01-1 6.01-1ubuntu0.1
2022-11-07 12:22:08 status half-configured libhttp-daemon-perl:all 6.01-1
2022-11-07 12:22:08 status unpacked libhttp-daemon-perl:all 6.01-1
2022-11-07 12:22:08 status half-installed libhttp-daemon-perl:all 6.01-1
2022-11-07 12:22:08 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:22:08 status half-installed libhttp-daemon-perl:all 6.01-1
2022-11-07 12:22:08 status unpacked libhttp-daemon-perl:all 6.01-1ubuntu0.1
2022-11-07 12:22:08 status unpacked libhttp-daemon-perl:all 6.01-1ubuntu0.1
2022-11-07 12:22:08 startup packages configure
2022-11-07 12:22:08 configure libhttp-daemon-perl:all 6.01-1ubuntu0.1 <none>
2022-11-07 12:22:08 status unpacked libhttp-daemon-perl:all 6.01-1ubuntu0.1
2022-11-07 12:22:08 status half-configured libhttp-daemon-perl:all 6.01-1ubuntu0.1
2022-11-07 12:22:08 status installed libhttp-daemon-perl:all 6.01-1ubuntu0.1
2022-11-07 12:22:08 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:22:08 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:22:08 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:22:16 startup archives unpack
2022-11-07 12:22:16 upgrade libhx509-5-heimdal:amd64 7.5.0+dfsg-1 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:16 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:16 status half-configured libhx509-5-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:16 status unpacked libhx509-5-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:16 status half-installed libhx509-5-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:16 status half-installed libhx509-5-heimdal:amd64 7.5.0+dfsg-1
2022-11-07 12:22:17 status unpacked libhx509-5-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:17 status unpacked libhx509-5-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:17 startup packages configure
2022-11-07 12:22:17 configure libhx509-5-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1 <none>
2022-11-07 12:22:17 status unpacked libhx509-5-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:17 status half-configured libhx509-5-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:17 status installed libhx509-5-heimdal:amd64 7.5.0+dfsg-1ubuntu0.1
2022-11-07 12:22:17 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:22:17 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:17 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:22 startup archives unpack
2022-11-07 12:22:22 upgrade libicu60:amd64 60.2-3ubuntu3.1 60.2-3ubuntu3.2
2022-11-07 12:22:22 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:22 status half-configured libicu60:amd64 60.2-3ubuntu3.1
2022-11-07 12:22:22 status unpacked libicu60:amd64 60.2-3ubuntu3.1
2022-11-07 12:22:22 status half-installed libicu60:amd64 60.2-3ubuntu3.1
2022-11-07 12:22:23 status half-installed libicu60:amd64 60.2-3ubuntu3.1
2022-11-07 12:22:23 status unpacked libicu60:amd64 60.2-3ubuntu3.2
2022-11-07 12:22:23 status unpacked libicu60:amd64 60.2-3ubuntu3.2
2022-11-07 12:22:23 startup packages configure
2022-11-07 12:22:23 configure libicu60:amd64 60.2-3ubuntu3.2 <none>
2022-11-07 12:22:23 status unpacked libicu60:amd64 60.2-3ubuntu3.2
2022-11-07 12:22:23 status half-configured libicu60:amd64 60.2-3ubuntu3.2
2022-11-07 12:22:23 status installed libicu60:amd64 60.2-3ubuntu3.2
2022-11-07 12:22:23 trigproc libc-bin:amd64 2.27-3ubuntu1.5 <none>
2022-11-07 12:22:23 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:24 status installed libc-bin:amd64 2.27-3ubuntu1.5
2022-11-07 12:22:28 startup archives unpack
